merk,price,location,buy
ASUS VIVOBOOK M415DA AMD RYZEN 3 3250 RAM8GB SSD512GB 14 FHD IPS WINDOWS 10 DAN OFFICE ORIGINAL,6.299.000,KOTA JAKARTA PUSAT,28 Terjual
Notebook Asus TP201S Vivobook Flip Touchscreen Ram 4GB HDD 1TB [FREE MOUSE/tas],4.100.000,KOTA JAKARTA BARAT,
laptop Asus Vivobook X441UBR Cor i5-8250U Gen 8 Ram 8GB/HDD 1TB dualvga Nvdia Geforce Mx110 2Gb,6.300.000,KOTA JAKARTA BARAT,
LAPTOP Asus vivobook flip TM420UA RYZEN 7 5700 16GB 1TBSSD VEGA8 W10 14.0FHD 2IN1,12.099.000,KOTA JAKARTA SELATAN,
"ASUS VIVOBOOK PRO K3400PH-OLED554 (Intel i5 - 11300H-Ram 8 Gb-SSD 512 GB-VGA GTX1650 4 Gb-14"" 2.8K OLED-Win10+OHS)",11.899.000,KOTA JAKARTA BARAT,
ASUS VivoBook S433EQ-AM754IPS i7-1165G7-8GB MX350 512GBSSD WINS 10 OHS19,14.800.000,KOTA MALANG,
Original Garskin Laptop Full Body ASUS VivoBook Flip TP301U Motif Gambar Bisa Request,112.5,KAB. SLEMAN,15 Terjual
ASUS VivoBook A412FL - i5-8265U 8Gb 512Gb SSD MX250 2Gb 14 FHD Win 10,10.690.000,KOTA JAKARTA SELATAN,
Asus VivoBook Max X441UA-GA311T Laptop - Black Core i3-7020U/ HDD 1TB,6.799.000,KOTA BANDUNG,
Asus Vivobook Flip TP412FA i3 8145 4GB 256ssd W10 14.0FHD 2in1 Touchscreen,5.999.000,KOTA JAKARTA SELATAN,
Asus Vivobook A413EP-VIPS551 Intel Core i5-1135G7 RAM 8GB SSD 512GB,11.785.000,KOTA SEMARANG,
Asus VivoBook K413EQ EB552TS I5 1135G7 8GB 512GB MX350 14″ BLACK,11.625.000,KOTA SEMARANG,
"LAPTOP ASUS VIVOBOOK 14 K413JP i5-1035G1 8GB 512GB MX330 2GB 14"" FHD IPS W10",12.499.000,KOTA JAKARTA PUSAT,
Asus Vivobook S433EQ-EB551TS Intel Core i5-1135G7 RAM 8GB SSD 512GB,12.150.000,KOTA SEMARANG,
ASUS Vivobook 14 A416JAO-VIPS521/VIPS522,8.000.000,KOTA BANDUNG,
ASUS VIVOBOOK A409MA INTEL N4020 | DDR4 4GB | 256 SSD LAPTOP ASUS,6.750.000,KOTA MEDAN,
Laptop Asus VivoBook X-409UJ,5.500.000,KAB. BANYUMAS,
"ASUS VIVOBOOK PRO K3400PH-OLED755(Intel i7 - 11370H - Ram 16 Gb - SSD 512 GB - VGA GTX1650 4 Gb - 14"" 2.8K OLED - Win10 + OHS)",14.150.000,KOTA JAKARTA BARAT,
Asus VivoBook A416EP-FHD352 Intel Core i3-1115G4 RAM 4GB SSD 512GB,8.652.000,KOTA SEMARANG,
"ACER Aspire Vero AV15-51-547X [15.6""FHD/Intel i5-1155G7/8GB/SSD 512GB/Intel iris Xe/Windows 11+OHS/Grey] NX.AYCSN.002",11.099.000,KOTA JAKARTA TIMUR,16 Terjual
ASUS EXPERTBOOK B5 FLIP B5302FEA-LG5850T CI5-1135G7/8GB/512GB/TS13.3/FP/WIN10/STAR BLACK,16.299.000,KOTA TANGERANG SELATAN,
"LAPTOP ASUS A416EPO i7-1165 - 8GB - 512GB - MX 330 2GB - 14"" - WIN 11",12.875.000,KOTA CIREBON,
"LAPTOP ASUS K413EQ i5-1135- 8GB - 512GB - VGA MX350 2GB - 14"" - WIN 10",11.295.000,KOTA CIREBON,
Asus Zenbook 13 UX325EA-EVO551 | UX325EA-EVO552 Core i5-1135G7/8GB/512GB SSD/13.3″/Win 11 Home+OHS 2021,13.499.000,KOTA TANGERANG SELATAN,
